Wavelength (nm),g-factor,CD,Extinction
606.5,-0.0252355,-308.648,0.370852
606,-0.0244797,-299.449,0.370907
605.5,-0.0237536,-290.47,0.370785
605,-0.0230044,-281.639,0.37122
604.5,-0.0222834,-272.872,0.371301
604,-0.0215618,-264.283,0.371648
603.5,-0.020874,-255.82,0.371601
603,-0.0201707,-247.489,0.372036
602.5,-0.0195476,-239.742,0.371878
602,-0.0188653,-231.565,0.372185
601.5,-0.0181999,-223.61,0.37254
601,-0.0175644,-215.749,0.372447
600.5,-0.0169506,-208.473,0.372917
600,-0.0163264,-200.775,0.37288
599.5,-0.0157243,-193.67,0.373456
599,-0.0151158,-186.272,0.373649
598.5,-0.0145249,-179.095,0.373868
598,-0.0139851,-172.308,0.373585
597.5,-0.0134073,-165.294,0.373821
597,-0.0128376,-158.397,0.374123
596.5,-0.0123201,-151.886,0.373811
596,-0.0117646,-145.212,0.374261
595.5,-0.0112365,-138.675,0.374212
595,-0.0106995,-132.133,0.374454
594.5,-0.0101773,-125.69,0.37447
594,-0.00965285,-119.328,0.374831
593.5,-0.00917283,-113.216,0.374243
593,-0.00866345,-106.812,0.373832
592.5,-0.00818044,-100.878,0.37391
592,-0.00770586,-94.9333,0.373549
591.5,-0.00724618,-89.236,0.373405
591,-0.00679758,-83.5307,0.372598
590.5,-0.0063447,-77.8563,0.372076
590,-0.0058965,-72.3022,0.371797
589.5,-0.00545113,-66.8671,0.371942
589,-0.00502889,-61.6979,0.372004
588.5,-0.00459869,-56.3506,0.371547
588,-0.00419952,-51.397,0.371097
587.5,-0.00377307,-46.1699,0.371034
587,-0.00337511,-41.286,0.370907
586.5,-0.00298427,-36.5196,0.371053
586,-0.00257946,-31.5153,0.37046
585.5,-0.00219837,-26.8325,0.370092
585,-0.00179547,-21.9369,0.370463
584.5,-0.00141082,-17.2147,0.36998
584,-0.00101958,-12.4271,0.369569
583.5,-0.000625959,-7.62269,0.369242
583,-0.000237587,-2.88884,0.368681
582.5,0.000157184,1.90995,0.368436
582,0.000533132,6.47293,0.368142
581.5,0.000903101,10.9591,0.367951
581,0.0012891,15.616,0.367309
580.5,0.00164869,19.9577,0.367046
